Date,BMO,TSX,GVTB10y
15-Sep,72.78,13306.96,1.432
15-Oct,76.04,13529.17,1.541
15-Nov,77.11,13469.83,1.571
15-Dec,78.08,13009.95,1.393
16-Jan,75.22,12822.13,1.22
16-Feb,74.65,12860.35,1.19
16-Mar,78.87,13494.36,1.227
16-Apr,81.74,13951.45,1.514
16-May,82.3,14065.78,1.32
16-Jun,81.95,14064.54,1.06
16-Jul,83.7,14582.74,1.028
16-Aug,86.98,14597.95,1.024
16-Sep,85.97,14725.86,0.997
16-Oct,85.36,14787.27,1.196
16-Nov,88.53,15082.85,1.584
16-Dec,96.57,15287.59,1.714
17-Jan,98.43,15385.96,1.758
17-Feb,100.79,15399.24,1.634
17-Mar,99.33,15547.75,1.624
17-Apr,96.66,15586.13,1.55
17-May,90.67,15349.91,1.416
17-Jun,95.22,15182.19,1.762
17-Jul,94.56,15143.87,2.056
17-Aug,89.61,15211.87,1.849
17-Sep,94.43,15634.94,2.098
17-Oct,98.83,16025.59,1.952
17-Nov,99.27,16067.48,1.885
17-Dec,100.59,16209.13,2.042
18-Jan,101.33,15951.67,2.289
18-Feb,97.44,15442.68,2.233
18-Mar,97.32,15367.29,2.092
18-Apr,97.51,15607.88,2.307
18-May,100.44,16061.50,2.246
18-Jun,101.62,16277.73,2.167
18-Jul,103.11,16434.01,2.311
18-Aug,106.97,16262.88,2.228
18-Sep,106.54,16073.14,2.427
18-Oct,98.43,15027.28,2.493
18-Nov,99.13,15197.82,2.268
18-Dec,89.19,14322.86,1.965
19-Jan,96.18,15540.60,1.879
19-Feb,102.62,15999.01,1.943
19-Mar,99.99,16102.09,1.617
19-Apr,105.82,16580.73,1.712
19-May,98.12,16037.49,1.488
19-Jun,98.92,16382.20,1.466
19-Jul,98.8,16406.56,1.478
19-Aug,91.26,16442.07,1.164
19-Sep,97.58,16658.63,1.361
19-Oct,97.5,16483.16,1.412
19-Nov,102.22,17040.20,1.462
19-Dec,100.64,17063.43,1.704
20-Jan,100.93,17318.49,1.276
20-Feb,91.21,16263.05,1.128
20-Mar,71.06,13378.75,0.697
20-Apr,75.1,14780.74,0.548
20-May,67.92,15192.83,0.54
20-Jun,72.26,15515.22,0.527
20-Jul,73.28,16169.20,0.468
20-Aug,82.78,16514.44,0.624
