COMP,AGE,EDUCATN,BACKGRD,TENURE,EXPER,SALES,VAL,PCNTOWN,PROF
570,60,1,1,3,3,804,0.2,0.21,49
587,55,2,1,5,5,2301,1.6,0.17,-76
766,47,2,1,21,1,885,3.6,0.14,138
1456,52,1,1,30,10,4439,6,0.17,98
601,59,2,1,35,5,1911,0.1,0.12,-85
2342,71,1,1,46,34,835,9.6,0.83,99
574,52,2,1,1,1,1987,0.1,0.01,-543
946,60,2,1,36,5,2588,2.4,0.09,231
1341,55,2,1,30,7,4377,2.1,0.04,390
772,53,2,1,29,6,2344,2.6,0.22,-171
514,57,2,1,3,3,661,4.1,0.17,79
1030,55,2,1,11,11,1236,3.3,0.43,22
329,37,2,1,11,1,344,12.9,4.15,29
576,48,2,1,8,6,1199,0.3,0.02,134
439,64,2,1,39,35,492,43,14.69,29
447,50,2,1,5,1,1084,0.3,0.03,54
1144,60,2,1,37,10,4594,6.9,0.37,150
425,74,1,1,3,3,475,0.1,0.07,6
1671,63,2,1,17,12,1967,5.5,0.2,143
688,54,2,1,28,28,3277,1689,34.04,317
613,56,2,1,8,1,1929,0.1,0.02,-29
782,49,2,1,18,9,5061,1.3,0.07,14
476,50,1,1,20,0.5,3148,1.3,0.05,260
3409,64,0,1,30,30,12021,29.4,0.31,-99
768,60,2,1,30,8,2097,0.7,0.02,322
1561,50,2,1,2,2,4134,0.5,0.06,-176
307,47,2,1,14,2,649,0.2,0.02,65
1082,61,0,2,35,10,2088,9.3,0.62,-24
554,58,2,2,36,2,10182,0.9,0.02,-404
541,51,2,2,17,12,862,1,0.1,113
1331,56,2,2,33,4,18807,4.8,0.03,942
1034,51,1,2,23,3,578,7,0.83,82
1461,63,1,2,23,8,5673,3.6,0.05,201
561,61,2,2,24,24,695,15.4,0.95,52
1571,53,1,2,31,9,16115,4.2,0.09,301
1554,61,1,2,41,17,1435,30.6,2.23,82
427,54,1,2,31,15,2366,71.4,10.09,55
1622,57,1,2,29,5,9886,9.7,0.19,347
517,59,1,2,37,21,3180,181,6.7,136
1187,55,2,2,2,1,1214,3.1,1.21,10
1948,55,1,3,23,23,1227,7.6,0.55,145
721,53,2,3,26,0.5,839,1.5,0.1,-60
4657,60,1,3,38,11,11572,316.1,0.59,1618
2847,62,1,3,37,10,3817,3.6,0.05,584
897,56,2,3,2,5,2689,1,0.07,81
635,59,2,3,33,2,3963,0.8,0.12,99
1652,60,2,3,34,14,14949,11.5,0.06,856
467,62,2,3,13,8,2549,0.3,0.01,306
1031,55,1,3,35,1,13340,3.6,0.02,1154
616,51,2,3,16,9,2754,0.3,0.01,237
889,56,2,3,5,5,2201,0.7,0.03,224
1377,56,1,3,32,3,2434,5.3,0.18,273
621,60,2,3,36,3,1552,0.9,0.03,210
4530,50,2,3,27,9,3077,31.1,1.81,98
2497,64,0,3,28,28,844,221.1,3.98,91
684,62,2,3,36,2,12794,0.8,0.01,-1086
466,48,2,3,17,1,1539,0.2,0.01,189
1300,50,2,4,2,2,1412,8.7,4.26,-35
597,57,2,4,27,13,2686,1.4,0.03,377
401,64,2,4,15,15,228,20.6,1.66,47
893,60,2,4,36,15,4444,2,0.04,417
670,64,2,4,15,15,1535,1.9,0.12,145
2244,64,2,4,41,5,4451,4,0.04,30
558,62,2,4,34,12,2359,0.2,0.01,265
357,54,2,4,20,1,1117,0.5,0.06,71
669,61,2,4,2,2,1475,0.7,0.05,-187
925,64,1,4,39,30,3670,46.5,2.52,118
596,60,2,4,9,2,1148,0.3,0.02,136
462,61,2,4,25,11,1314,16.8,1.03,27
804,55,0,5,15,10,657,10.6,1.75,25
809,59,1,5,38,0.5,19196,0.4,0.01,505
2027,62,2,5,25,5,8379,3.4,0.04,806
1097,57,0,5,27,17,1872,23.6,12.26,-8
2094,63,1,5,41,8,10818,5.9,0.04,1166
1833,63,2,5,36,7,17037,6.3,0.04,709
1126,64,1,5,28,14,2545,3.4,0.21,63
668,62,2,5,35,20,3950,2.3,0.27,-80
750,59,0,5,13,0.5,4051,127.9,7.51,-82
453,64,2,5,40,26,872,54.5,3.14,91
643,65,1,5,29,23,1681,8.9,0.89,44
1158,50,2,5,4,4,1616,1.2,0.1,54
711,49,2,5,29,6,2025,0.6,0.13,-13
1488,58,1,5,9,8,2643,9.4,0.56,126
493,59,1,5,34,4,1556,0.2,0.01,169
1032,63,2,5,35,8,2354,2.2,0.12,46
2833,50,1,5,4,4,11663,11.7,0.39,-332
1019,56,2,5,30,9,3259,49.3,0.68,311
1752,63,1,5,14,14,5137,534.2,3.99,249
600,52,2,5,12,2,21351,4.2,0.26,101
444,50,2,5,25,3,1569,0.1,0.01,-50
1630,60,1,5,36,20,8331,132.5,8.21,82
155,42,1,5,26,12,1366,373.6,7.51,-351
1207,61,1,5,35,2,3575,2.4,0.16,-130
854,62,1,5,30,3,669,2.6,0.17,81
600,60,0,5,42,1,1214,85.6,17.66,43
1088,45,2,5,11,11,415,2.6,0.17,48
4039,55,1,5,32,17,12651,35.2,0.29,715
1856,60,2,5,33,3,4864,0.4,0.03,-507
1735,47,2,5,5,5,1712,21.7,0.52,-47
386,46,1,5,21,1,1380,337.4,12.99,119
